,reviews
245,we flew from dubrovnik to heathrow on the th april check in was very fast and we cleared security in about minute we made our way up to the lounge which just has the basic essentials but was clean and spacious when boarding time came we had priority boarding and was the first few to board welcomed by the cabin crew and given wipes once seated we left more or less on tme had the safety brief taxiing for take off once airborne it was soon time for the drinks and meal services choice of main meal options which was very good served by very friendly crew the captain kept us informed about the progress of the journey arrived at heathrow slightly early overall a very pleasant trip we will be flying again with british airways
246,i have always chosen to not make a big deal of the poor service delays dirty aircraft over packed lounges cabin crew etc experienced over the years but have lost all patience with this airline having paid almost k extra to change our return flight for the family to get a flight at a specific time ba cancelled this and placed us on another flight almost hours later there was no option to get any of the other available flights the business class lounge at lhr was packed with hardly any space to move the aircraft was filthy with food wrapping papers on my seat and floor the seats were uncomfortable food for business class passengers included bread rolls passed in a basket the poor level of hygiene overcrowding delays cancellations makes this the worst airline i have had to endure
247,business lounge was closed at pisa airport which was probably beyond the control of british airways but as it had been closed since january the least british airways could have done would have issued their customers who paid for this service vouchers to be used at the airport i complained about this to ba and as compensation they said they would credit my account with avios points which i felt was an adequate compensation and at that point felt ba had handled the situation in a prompt and professional manner however that was seven weeks ago and no avios points have been added to my account i have called their call centre multiple times at one point being put on hold for an hour to put through to the right department when the phone was answered i was told it was the wrong department and to phone a number which was read out to me which was the same number i was calling this scenario has replayed itself probably about twenty times now it is clear that ba have no intention of resolving this and are just making their customer go round in circles before they give up this airline is absolutely appalling in the way it treats its customers
248,our good friday flight was delayed by hours std atd to durban south africa from johannesburg there were no announcements made when approached no time frame was given they simply didnt know an aircraft had to be towed from a hanger at johannesburg crew arrived late the aircraft was filthy we shall never fly comair again that includes kulula or ba absolutely shocking service
249,we had a trip with flights included all flights were delayed the worst with hmin also one flight was cancelled and we were rebooked to a h earlier flight loosing h of our short vacation no explanation or compensation was given for the cancelled flights or delays i expected a lot better as i have earlier used ba with good results this was a really bad experience and i will avoid using ba for any further travels
250,my first time in the new club world suite excellent lots of space and privacy very good seat i doubt if this can be bettered good staff as ever my only quibble is that the food is all served at once ba needs to roll this out quickly
251,i had an incredible rude check in staff at the british airways counter in nice on th april zero empathy towards me a struggling customer second situation happened when we arrived into nice terminal on ba april where my luggage did not make it on the same flight as me and had to put my details down for delivery when our luggage arrived at nice airport the day after and received an email from the avia partner lost and found british airways partner at pm informing us that our luggage has now arrived in nice after multiple emails back and forth with emphasis on we were strongly expressing that i did not have clothes or shoes to wear and that we only had short days in monaco it was vital we received the luggage asap the lady replied if it is so important why dont you come and pick it up here at the airport or send your driver to pick it up despite the fact that a proper delivery address was supplied to them from the very beginning this has been an appalling experience
252,we booked a business class flight with qantas from melbourne to glasgow via london as qantas fly to heathrow british airways is their partner airline so we were automatically booked on ba from heathrow to glasgow we booked this flight in october however days before we were due to leave we received an email from british airways advising that our flight from heathrow to glasgow has been cancelled to help us out the email said they had however booked us on another flight leaving from london city airport which is miles from heathrow airport and the flight is going to edinburgh not glasgow not sure how we were supposed to get from glasgow additionally it is in economy not business class even though we had booked business class originally we booked this as one connecting flight so british airways know that we have just travelled hours from australia there was no mention in the email about compensation for the change of class or additional travel costs in getting to another airport nothing about possibly not accepting the flight given it was obviously never going to work for us and no contact details for british airways they also sent the email on good friday so even when i did eventually find a contact number their office was closed i have never experienced such terrible customer service with any airline i have ever flow on and i can guarantee i will never fly british airways again
253,the service was very good the cabin crew were very kind and the boarding was very quick for an aircraft of this size the seat was comfortable for economy and because the a walls are still expanding outwards on the first floor there was a lot of space the food was good for airplane food the only bad thing was the ife screen was quite outdated and wasnt good quality however there was a large selection of movies and tv shows
254,total chaos for departures immigration at malaga airport boarding was quick polite welcome by cabin crew beverage cart after take off was prompt followed by lunch with a choice of entrees food can best be described as wholesome but not meeting quality levels of air france swiss or lufthansa short haul business class meals menu is still missing and like many other aspects of the experience ba cut a lot during covid and have not reintroduced i wouldnt mind but on european trips in ba are charging up to times the fare levels of and the overall value for money is now very poor the wifi did not work from start to finish of the flight crew said it had worked on the way out and the captain had contacted london to get it fixed on the return ba is becoming more and more shambolic blaming far too much on covid and it is time they took some responsibility for their failings
255,shout out to the help desk at heathrow we arrived to late to make our flight and the lady with years exp was great she had a tough crowd to deal with and was very kind and helpful in getting us a place to stay food to eat and a flight home the next day
256,i am constantly amazed how british airways continue to get things wrong i pretty much though they had covered all those bases and in the last years living in the uk i have watched their decline with great sadness my flight to paris was no exception not only was the flight late overcrowded and not managed at all by disinterested staff that we sat on the tarmac full boarded for one hour while we waited for catering to be loaded on front and then back left me gobsmacked as they barely offer any food service anyway small packet of crisps and an even smaller bottle of water on a minute flight i wondered why they thought it was good operational planning to delay a whole plane load of passengers so that people in business class could speedily eat a poor quality meal on the flight to paris as it transpired i was over minutes late and missed the meeting i was flying to paris to attend never again
257,the short haul flights were the best with the crew on the final leg giving the excellent service that we all hope for we chose out flights very carefully so that we were booked on flights with the club world suits not the ying yang arrangement that they still offer at the last minute the aircraft was changed so we had to put up with the ying yang which really should have been pensioned off ages ago most business class offer across but this layout still squeezes in across as we only take one long haul leisure trip a year in business class we always lose out on the points game but i take exception to having paid in full on a non refundable basis not to be allowed to reserve my seats the points gained from this trip alone would have allowed us bronze status but we were not given this status until after the trip when it is useless to us this status would have allowed us to book the seats days prior to departure when they were still available rather than the hours when they were not available on the long haul return flight i was unable to book a window seat but on boarding after the doors had closed there was a window seat still vacant i asked if i could move and was told by the fa she would check nothing happened but after takeoff a passenger was moved from economy to that seat judging by the interaction between them i would bet it was someone on staff travel i think it disgraceful that a full fare paying passenger should be treated like this takeoff was just after hrs but we were not offered a drinks service before supper but were told we could order a drink that would be delivered on out tray with the meal had we done this our meal would have been cold by the time we ate it in summary would i ever fly with ba again no not if i had half a chance of going with another airline
258,a very comfortable new suite flight with great service and good food crew was wonderful new seat is great except the shoulder strap is very uncomfortable entertainment great wifi was annoying cutting off and needing constant reconnecting generally a positive experience
259,british airways is the most terrible airline ive dealt with they have caused our family extreme stress and disappointment we have tried for a week now to speak to someone as we cant make the changes online they hang up on you every time you call them we have been driven to despair by their treatment of their customers you cant check in online the application sucks so much youre better off trying to code your own app and itll probably work better every time you try to check in you are taken to a page that says we cant verify your documents yet the app and website say youre verified and ready to go you upgrade and pay for upgrade and it says its guaranteed and then when you go to check in which you have to go to the airport for because online wont work they give you a different seat than you paid for and a lower class and offer nothing in return i hope i never have the misfortune of getting stuck flying with british airways ever again
260,british airways is the most terrible airline ive ever dealt with they have caused our family extreme stress and disappointment we have tried for a week now to speak to someone as we cant make the changes online they hang up on you every time you call them we have been driven to despair by their treatment of their customers i have no choice but to cancel our chance of a life time trip wed booked with our year old boys as they were flying with another airline and would have been alone in japan as ba just cancelled our trip and we cannot rebook online as the trip was booked with avios and companion vouchers
261,ba is getting a real bashing on this forum and i thought id buck the trend and report a virtually flawless experience of a short hop from edi to lcy on ba this monday easy check in decent lounge experience except the very amiable staff were still forced to serve from behind barriers very clean plane which left on time ridiculous amount of legroom in d it is a bulkhead seat but with lots more space than a or c reasonable cooked breakfast served by a very attentive and capable csm and arrived mins earlier than scheduled whats not to like which is my overall experience with the vast majority of my ba experiences over the last years anyway i thought it would be nice to read a positive review for once
262,new club suites are amazing the only let down is the bed is a little too firm but the pillow was the most comfortable pillow i have ever used food was ok as i have had better on ba in the past and i can understand why they put everything on a single tray which is ok the cabin crew were brilliant but i was surprised that after dinner the crew didnt once come round with beverages or even bottled water ba really have a great hard product here and i would suspect the soft product will improve once covid restrictions become less of an issue well done ba
263,very small plane for a busy route service was good but food not so ran out of a lot and options left were not good cabin crew for ba actually really friendly
264,ba continue to charge a premium for the most disgusting service provided by people who shouldnt be in customer service on tired dirty and cramped aircraft out of flights this year not one has managed to depart or arrive at their destinations ontime including having business class tickets cancelled and an alternative in economy being offered still no refunds months on and had a flight late and missed connection so ba cancelled the rest of my ticket leaving me stranded in the us
265,flew back on ba bridgetown to heathrow in the old club class a huge disappointment after going out in the new club class suites the end of this awful yin and yang seating cant come soon enough even tried to pay bas extortionate prebooking rate for our seats none left to choose even weeks ahead my wife and i were stuck in the middle seats of e and f good job it was an overnighter so we managed to sleep a bit and not have to climb over our neighbours very often the march film selection so not good not particularly friendly fa who insisted face masks must be worn even though bas policy has changed regarding flying back to a nonmask wearing destination ie london sort it out ba took off minutes late but big tailwind so more than made up the time on a relatively smooth flight dinner not to bad but breakfast fairly dire my wifes smoked salmon bagel was dreadful as usual when ba is good its really good but when its bad its awful i recommend hesitatingly come on ba be great again we pay a lot for premium seats
266,the worst budget airline ive ever used far worse than ryanair and i refuse to fly with them even though theyre basically free ba charge about x as much as other budgets but have the worst service spent an hour checking in because their outdated computers crashed they left us sat on the plane for over hours because they couldnt connect to the internet then left of our luggage behind because they would have had to refund everyones flights if they waited another mins for the other luggage trolleys to arrive it took three days to return it and cost us s then on return ive now been sat here nearly two hours and theres no sign of our luggage again i dont know how a company can be this incompetent but ill be pursuing for compensation i have some free flights from amex but i wont be using them because its not worth going through this again
267,first the actual flights are fine and the staff on all flights zrhlhr gvalhr lhrzrh first in economy are absolutely fine chatty and friendly they are a credit to the company the infrastructure however is appalling zrhlhr impossible to checkin online and just staff to checkin everyone for flights resulting in mislabelled luggage and an hour delay to sort this out gvalhr hrs late as noone at lhr to tow the aircraft to the gate lhrzrh mins late due to slow gate staff even when you checkin online you have to queue at the airport to get the actual boarding pass there are more examples and for this reason until they sort out their stressed ground staff it is impossible to recommend this airline onboard getting to be onboard 
268,have not flown economy with ba for years what a shock hard uncomfortable seats small aged tv screens with limited inflight entertainment food and service appalling hr plus flight no socks eye shades ear plug amenity pack and no antibacterial wipes offered wifi advertised but not available on flight paid premium money for a budget airline more akin to easy jet ryanair or jetstar my last time travelling with ba after more than years of flying with them ba you really do need to buck up your service and become the flagship service you used to be
269,flew to barbados march on ba in the new club class suite a huge improvement on the old yin and yang club class which we unfortunately endured on the way back comfortable big tv screen with high quality picture and good headphones plenty of nooks and crannies for storing small items and very private nice friendly fas called by my name from the off and pretty good drinks service with a good dinner served once again let down by a poor at best choice of movies on the inflight entertainment system thank goodness the latest james bond movie was showing took off and landed on time smooth flight only one letdown the usual extortionate fee charged for prebooking a seat come on ba stop nickel and diming it spoils what could be a really good business class product and after all we already pay quite a bit for the privilege i recommend with the usual caveats
270,very poor flight from cape town to london after the chaos of cape town airport passenger handling with incredibly long queues to get through security and then passport control taking nearly two hours in total we arrived at the lounge somewhat frazzled and were very happy to find a quiet area with decent wine and appropriate food choices for a break before boarding the flight boarding went well and we were seated and offered a small half full glass of champagne the captain made an announcement to say that we were all aboard ahead of schedule and that the flight time would be shorter than scheduled but unfortunately this would mean our arrival would be too early to land due to the am lifting of the overnight jet ban at heathrow so we would have to wait on the ground for perhaps half an hour or so this was no big deal then the captain announced that due to it issues at heathrow they could get not compile necessary paperwork so we would be delayed for an indefinite period with the delay of uncertain duration one might have hoped for a further offering of champagne or other beverage in particularly for business class but this was not forthcoming in the event take off was permitted quite soon after the crew had distributed menus but then did a pa to say that there were changes to each of the main courses a drinks order was taken for pre dinner drinks for main course for dinner and choice of wine with dinner drinks and nuts were served circa minutes after take off in my case a small measure of white wine in the bottom of a pleasant and decent sized tumbler and my husband had another half glass of champagne dinner arrived on a single tray with a small measure of red wine in the tumbler the food looked bland unappetising and tasted the more so the cheese two small pieces were sitting in a greasy pool of vinegary chutney no top up of the wine was offered we did ask for a second glass and it was provided on a very individualised basis and coffee was not served since we had hit some mild turbulence the flight was some hours in duration and no other snacks or beverages were offered prior to breakfast which was provided separately to each passenger as they showed signs of being awake breakfast was slightly more edible than dinner coffee or tea were offered by individual mug orange juice was available on request cabin crew were largely absent from the cabin except during the meal services but it must be said that they were extremely pleasant and were suitably responsive to requests for individual items come on british airways you can and need to do better than this if you are to meet customer expectations and compete with other airlines on similar routes for the cost of a business class ticket passengers are enjoying only additional space and seat comfort flatbed as a benefit over an economy ticket at or below of the price paid for the premium cabin time was when flying in business class was real treat no longer is this the case
271,our main complaint is that the limited food served was bland barely edible and by far the worst weve ever experienced compared to other airlines used in the past the staff were friendly enough but they were rarely seen between meals no snacks were offered during the flight this is so different to every other airline we have used in the past after hours of flying the breakfast offered was a tiny cold stale ham and cheese roll and a small plain yoghurt with a couple of oreos if ever you decide to fly with them i suggest that you bring your own food we certainly will on our return flight but will never use british airways again
272,complete and utter chaos at heathrow yet again surely the ceo sean doyle must now take responsibility and step aside for the consistent and continuous it problems that cause flights to be cancelled and delayed the queue for the first wing check in at am today was over hour and subsequent flight to malaga hrs late leaving the gate updated about the delays times but strangely not one person apologised or said sorry ba seems to think this is normal practice nowadays as emerald oneworld i wish there was an alternative because ba has become intolerable and this is after flying them for years since beaboac days
273,feb we show up at the airport hours early for our flight to dublin we waited in line for hours to just check in our luggage after that we learn our flight is delayed another hours we had a connecting flight in london when trying to go through customs they wouldnt let us through because the boarding of the plane was going to be happening in minutes they told us to wait in a customer service line that was well over an hour we then found out we could have gone through customs because the connecting flight from london to dublin was delayed over an hour however by the time we were told this information the doors were about to close the next available flight to dublin was late evening with that being said we were forced to stay the night in london after talking to a british airways manager they informed us that ba would reimburse us for any hotel flight to get to dublin regardless of the airline clothes due to them losing our bags excursions and transportation due to this issue we had to spend multiple days shopping for clothes lost out on days we had booked to explore the country had to now buy an extra suitcase for the new clothes we received went days with lost bags when we finally got home we submitted our claims like we were told to do within a few days its declined we have asked for a contact just to talk to somebody again declined we tried to reach out via social media and we get passiveaggressive messages they refuse to pay me back for the new flight to get to dublin transportation to and from the airport in london the hotel for london the clothes i had to buy because they lost my bags for days and the extra luggage fee because of the extra clothes i had to buy there is no customer support and they are impossible to get a direct response from
274,british airways are in the process of upgrading all its fleet to the new club suite but ba had the yrsold packedlikesardines club world product the lounge at cpt was also bursting at the seams and food orders were so behind that many passengers had left by the time their food arrived on boarding we were surprised to find that the menu amenity kit and bottle of water had already been placed in the storage drawer we suspect this is another cynical timesaving initiative on the part of ba frustratingly the menu turned out to be incorrect and the replacement dishes were probably the worst we have ever encountered in any business class on any airline the drinks run was cancelled without any warning on the spurious basis of a passenger with a nut allergy its hard to avoid suspicions that cabin crew were being economical with the truth apart from a rather turbulent ride the flight was otherwise uneventful and arrival was slightly ahead of schedule baggage handling was however atrociously slow
275,we flew to funchal madeira yesterday madeira has no covid restrictions for entry yet ba asked us to upload our nhs vaccination passes before we could check in online i received an ok about an hour later but my husband did not so i couldnt check in online we arrive at heathrow hours before departure and stood in a long queue for check in there were just desks open for a queue of approx travellers then several people went on breaks or disappeared so we were down to one desk open with the queue barely moving i went to complain to various ba staff who said the manager had been told and more people were coming one blonde lady walked around for ages shepherding travellers into the queue before sitting down at a desk another man later did likewise making us wonder why they hadnt simply worked at the desks from the beginning all in all we stood in that queue for a good hour before almost running to the security queue which thankfully moved quickly then we hurriedly bought a sandwich walked to our departure gate and stood on the bus to the plane the whole experience was extremely stressful and took the best part of hours we did not have time to sit down until we did so on the plane and completely unnecessary if we had been able to check in online this would not have happened my husbands vaccination pass is fine but not required for madeira i think it is a systems failure as he received an email yesterday morning saying his pass was not in order as did i even though id previously been told i could check in online also unnecessary as if ba had staffed the desks properly the queue would have moved a staff member told us ba had laid off lots of staff during lock down and was now begging them to return but having been treated badly they didnt want to the flight itself was fine on time we were given a bag of crisps and a bottle of water again fine nothing praise worthy
276,absolutely bad experience with british airways i have two bookings with them for the past two years both were cancelled the first one i understand covid unexpected but today i got another surprise my flight to antalya in may was cancelled and no explanation is given i will definitely not book ever again with them
277,flew ba lhraus on a on the outbound leg and then back on the a on the return leg seats comfortable staff service on the inbound leg was disappointing safety briefing was missed on lhraus route lhraus boarding on time flight flew out on time landed on time auslhr boarding one hour late left an hour late and landed one hour late too food quality on both legs was not fit for human consumption wife ordered a veg meal which was served cold on both legs in flight entertainment on outbound leg was bad screens not working on return leg worked fine but this is due to the a being brand new good quality of sleep on both legs which was good check in at lhr was flawless and without incident check in at aus was rotten we queued and were number in line and waited for hour for staff to check us in what was clear is staff quality in austin is poor passengers did not appear to have passenger locator forms ready verifly app ready and or vaccine detail ready having looked at business and premium economy class on both legs paying business class and premium economy did not appear worth it baggage was received fine at aus and lhr the latter took ages on return if i had the option of another airline i would not fly ba
278,the food was awful an over night early morning flight started with the offer of a terrible chicken wrap thing terrible then went to a traditional breakfast with disgusting sausage and inedible hash browns such rubbish on ba
279,i really cant believe they have the audacity to call this first class the check in staff at singapore were abrupt and unhelpful the official ba lounge in singapore was closed so theyre using a cheap generic alternative which anyone can pay twenty pounds to go in suffice to say it was not pleasant onboard was like being in the middle of a bad comedy sketch i can not believe the two stewardess have ever had any first class training i had to ask for slippers the first drink took nearly an hour to arrive despite only having passengers to serve between the two of them the poor woman sat next to me ordered a wine which came filled to the brim i mean its first class not a student house party neither had any knowledge of the wines on the menu most of the food was awful my steak was dry over cooked and tough and whichever catering manger signed off on a canap of soggy mushroom on top of a chunk of polenta should be sacked immediately i will say the cheese and port were nice however the worst thing was the constant galley noise there was a cart stowage immediately in front of my seat k which they were in and out of all night and appeared incapable of shutting without slamming they also seemed to have stored their personal belongings in to the bin immediately above my seat so were in and out of that as well i will say the seat itself is very well designed but personally im happy in club and would never do first again
280,london to dubai family of kids where from down to years old savvy travelers been on many holidays so we were excited to be on ba for first time but disappointment became desperation as we had not eaten anything since dublin that morning at am we had no time to eat at lhr so thought well get something usually around hour into the flight hours after take off they served out food food was fine but nothing special no issues with beverage no attention to kids as youd expect from many other airlines even a kids book would be good movies are all outdated and already watched so overall very medium experience
281,one would think that the number of crises ba incurs they would have had emergency planning down to a fine art i last flew with ba may yes the weekend of the last but one it crisis i swore never again but ended up purchasing a ticket aug to bologna ba cancelled the flight then covid hit so ended up with a voucher fast forward to feb th received a message am mins from lhr that that my flight was cancelled arrived at the airport with everyone else just wandering and seeking answers the staff that were there either told you to go online a bit difficult as the ba systems were down or ring ba ha ha or go home not very helpful if you live two hours from lhr by some miracle the app sprung into life and i managed to get one of the last seats on the evening flight sat in arrivals as there was a coffee shop soon ran out of seats by midday most of us were trying to get airside to use lounges but no one was allowed in departures until two hours prior to your flight supposedly because of crowds pointed out ba should have provided refreshments told to put a claim in eventually got to departures and made it through security ba customer services note the oxymoron had a consistent queue of about people as ba were still cancellingrearranging flights for passengers who were airside boarded flight mins late sat on tarmac as the pilot told us the delay was them trying to reconcile luggage when we took off given one very small bottle of water and a cereal bar for a fivehour flight they purport to be a topclass airline but in fact ryanair has more finesse the staff are fine but can be miserable because they are treated so badly and like to remind you that they are doing their best in a difficult situation well so are the passengers the aircraft are cramped and worn i had been reluctant to use egyptair but flew home with them on a new aircraft with a very good entertainment system and was provided with a hot meal and snack for same price as a ba ticket how on earth can ba justify their prices the management should be sacked as ultimately they are to blame for the ruination of this airline
282,we will never use ba again for a long haul flight our experience of the flight from lhrmle wasnt too bad apart from a screaming child but the return wasnt a good experience we werent provided with a drink when we boarded as we were forgotten and that happened a few more times during the flight i think the crew in premium economy were very young and not very experienced leaving the experienced ones in businessfirst actually i think ba only care about the businessfirst customers now with the cabins getting larger for those classes they ran out of food choice rows back in our cabin its not a large cabin ran out of wine straight after the food service and we had no food for hrs apart from a couple of biscuits one of those we had to go and get from the kitchen we werent fed until hrs before we landed it was a hr flight and then it was a soggy roll containing slices or cucumber and slices of tomato ba just dont care anymore about the little people
283,british airways is getting worse an worse my flight was mins late luggage is taking hours to arrive no communication whatsoever from anyone they cant be reached on the phone and answer with delays to emails if they do my app is crashing most of the times they change the aircraft without notice so even if you pay for a seat the staff will say there is nothing they can do
284,paid for business class seats to london from new york got downgraded at airport check in because they overbooked business class couldnt even provide compensation or a refund told i had to call customer service or submit a form unbelievable unacceptable never again
285,absolutely shambolic customer service the lounges at heathrow are outdated and the service was terrible waited over an hour for my chosen fooddrink order to be brought to me ended up getting it myself and told off for doing so on board product is average
286,our flight back to athens on a different airline was very delayed causing us to miss our first flight home i understand that they were not required to help due to the delayed flight being a different airline whats worse is that they went ahead and canceled our tickets for our connecting flight which we would have been able to make based on another flight out we found causing us to have to buy much more expensive tickets home that resulted in us having an overnight layover and having to buy a hotel room on top of ridiculously expensive last minute tickets the absolute worst customer service i have ever dealt with and i will never be flying with them again
287,flight took off two hours late after what can only be described as a shambles at the airport no airbridge to the aircraft which is not acceptable the aircraft was better than the outbound flight who screen was so small after serving only about rd of the cabin no first choice only a vegetarian dish or a chicken dish from the economy cabin the airline must know that vegetarians will order a meal so why include it as a choice also to offer a roll of hamcheese for breakfast after a hour flight is cost saving a hot breakfast should be offered with only minutes between my connecting flight due to late arrival i made staff aware whilst they let me and others passengers of the flight first there was no staff to assist in getting us to our flight it was a struggle to get my connecting flight on arriving in glasgow got txt to say my bags did not make the flight first time using ba premium and likely my last
288,there was a mistake on my booking made by ba got an email to say contact us to discuss took over contact attempts spanning hours and still not resolved absolutely the most shambolic customer support i have ever experienced still waiting for the call back i was promised weeks ago
289,the economy cabin was surprisingly underpopulated on this flight with only about passengers but business class was threequarters full boarding was therefore mercifully quick and takeoff on schedule sadly ba makes use of the old club world product which now seems like a step back in time after experiencing the new club suite on ba there are some good points about the old club world the drawer capable of taking a laptop and the more comfortable seat when flat but other than those its an embarrassment the tiny poorly responsive screen is almost beyond belief service was perfunctory and the meal service conformed to the current overly cautious postcovid requirements with everything served at the same time this does mean that the meal is over and done with relatively speedily but its a lacklustre experience in contrast to bas competitors and smacks of continued costcutting queues for the three toilets in business class were unacceptable at times and there was limited attention paid to keeping them clean arrival was on schedule but covid paperwork processing meant that it was an hour before we were able to collect our baggage
290,british airways continues to go downhill we flew business class and the experience was like economy from years ago except you can have a glass of champagne we were packed in full x seats because of it issue the day before even if werent the seat pitch and width is the same as economy gone are the little pretend tables in the middle seat to give some illusion of style the food was dreadful the in flight service was unsophisticated ba used to have an acceptable european business class they dont any more other european airlines offer much better in flight experience in business class in comparison ba is taking premium and frequent flyers for granted and treating us like mugs how i miss the politeness of old ba business class from around years ago how i used to look forward to it the small gestures like hanging up a coat giving you a hot towel having nice food being served from the galley rather than from the manky trolley covid is not the reason this is years of cost cutting and the result is dreadful
291,outstanding from the warm smiling welcome on board this flight was excellent the in flight crew were friendly attentive and very professional detailed announcements from the flight deck as well food and wine all very good indeed the premium economy product on ba is also very good comfortable seats foot and leg rests and decent recline fr superior to any other airline on other atlantic routes
292,british airways has scrapped the mandatory wearing of face masks onboard flights although they pretend publicly that the policy remains ba from london to malaga on th february and across visible rows around me there were out of passengers wearing face masks and i was one of them this was long after the meal drinks service had been cleared and remained like that as we landed and deplaned cabin crew were frequently up and down the aisles and not a word was said to any of these non compliant passengers or as they left the aircraft with staff bidding them farewell i guess they are too scared to remind people to follow the rules
293,for once more ba got it all wrong with hours delay food voucher of pounds and no information or advice no staff to serve the waiting passengers the attitude towards the passenger is one of a dispensable commodity
294,another episode of unmitigated shambles when it comes to customer service the day after storm eunice and english half term holidays are getting underway so you make allowances and you accept there could be some delays the fact they were then compounded by the late cancellation of a raft of flights to domestic and european destinations on the evening of saturday february for operational reasons was pitiful you could not rebook via bas website instead passengers were compelled to queue at gate a at lhr to possibly rebook and be provided with accommodation overnight some ba cabin crew were helpful but those in customer services in the south lounge who simply directed passengers to the ever growing queues at a were a disgrace
295,check in at iad was quick and easy lounge in washington was a ba lounge and very good sound pre flight food offerings for this overnight flight flight on time and boarded promptly as we had eaten we opted to sleep there was full dinner and breakfast service for those that wanted it we slept well on time arrival and quickly made it to t arrivals lounge which was excellent
296,very old planes poor food and minimal leg room in economy check in procedure online did not work for me or any of my fellow travellers special meal request given weeks in advance for food allergy was ignored i spoke to a ba customer service representative as soon as i landed in heathrow who said they could not help and referred to the telephone line who said the same but referred to the online complaints form have been trying for weeks to raise this as a concern for those with food allergies and prevent this from happening to others but no reply via their complaints website or on twitter telephone hotline is now also currently unavailable
297,having just booked ba for a return flight being one hour each way in club class and paying euro for persons to be then asked to pay a further euro to choose seats in business a full business class ticket and a fee for seat a very disengaged management model
298,ba got everything right allowed evening before check in this allowed lots of time for staff to help with paperwork needed for travel to the us on the day of travel it was half term and the airport busy in spite of this through security and into lounge in minutes lounge clean staff proactive and food served quickly good range of drinks easy transfer to c gates aircraft ready boarding quick and well organised pre departure drinks served the cabin crew were excellent and provided a very good service the food was the new club world menu options roast beef which was excellent although it was the older club world product it was clean and well maintained on time arrival baggage off very fast overall an excellent flight and it feels like ba are improving their offering at a time when many other providers use covid as an excuse for service cut backs well done
299,appalling customer service they have cancelled flights and rebooked us but have not confirmed any change to the hotel reservation that was part of the inclusive booking hours and hours on the telephone with no response or you just get a recorded message to say they cant take the call they dont respond to emails sent to the complaints line
300,this past novemberdecember i flew washingtonlondon return and on the strength of that trip my first in two years the inflight service quality appears to have pretty much returned to the prepandemic status quo ante the cabin was clean and well maintained seats were comfortable food and drinks were good including a very tasty hertfordshire roast pork on the return leg and the ba cabin crews remain the best in the business this was one of a number of bookings that i had to rebook a number of times due to flight cancellations and contrary to the experience of many here my rebookings were handled courteously and thoroughly although i did have a number of lengthy waits on hold but under the present circumstances thats to be expected its good to see that the everyday product has held up so well amid this dreadful time and im looking forward to future trips on ba
301,i had the best experience i have ever had with an airline our initial flight to dubai was canceled by royal air maroc and we had to find a new flight at the last minute i found that booking with them was extremely simple unfortunately we had to cancel our flight the day of the departure i called the customer service waited about minutes before i could speak with someone and within minutes the flight was canceled and they offered me a full refund the person on the line was extremely nice understanding and willing to help us i had never dealt with such a nice employee from any airline i got the full refund on my credit card the day after i usually chose the cheapest flight ticket regardless of the airline but from now on ill definitely make sure to check with british airways first
